,movieId,imdbId,tmdbId
23,24,114168,12665.0
28,29,112682,902.0
31,32,114746,63.0
59,66,116839,11525.0
68,76,114367,9102.0
91,103,118040,2045.0
133,160,112715,10329.0
144,172,113481,9886.0
145,173,113492,9482.0
166,196,114508,9348.0
167,198,114558,281.0
176,208,114898,9804.0
220,256,110216,6280.0
224,260,76759,11.0
235,273,109836,3036.0
253,292,114069,6950.0
275,316,111282,2164.0
285,327,114614,9067.0
287,329,111280,193.0
290,332,114852,12122.0
296,338,114857,9271.0
336,379,111438,8831.0
370,426,106452,4722.0
379,435,106598,9612.0
385,442,106697,9739.0
418,480,107290,329.0
439,504,110678,10447.0
447,512,111003,25557.0
454,519,107978,5550.0
474,541,83658,78.0
478,546,108255,9607.0
507,589,103064,280.0
522,610,82509,11827.0
523,611,116514,8766.0
558,671,117128,3065.0
559,673,117705,2300.0
560,674,62711,8069.0
563,680,58898,8072.0
567,692,117688,29621.0
583,718,108500,11687.0
595,737,115624,11867.0
596,741,113568,9323.0
601,748,115571,10547.0
615,780,116629,602.0
622,788,117218,9327.0
656,849,116225,10061.0
668,880,116654,9306.0
706,924,62622,62.0
741,968,63350,10331.0
777,1019,46672,173.0
794,1037,104692,10163.0
817,1077,70707,11561.0
836,1097,83866,601.0
856,1127,96754,2756.0
858,1129,82340,1103.0
898,1196,80684,1891.0
901,1199,88846,68.0
902,1200,90605,679.0
907,1206,66921,185.0
911,1210,86190,1892.0
915,1214,78748,348.0
924,1223,104361,530.0
932,1232,79944,1398.0
939,1240,88247,218.0
952,1253,43456,828.0
954,1255,92610,9964.0
969,1270,88763,105.0
973,1274,94625,149.0
999,1301,49223,830.0
1004,1306,101458,10341.0
1009,1320,103644,8077.0
1023,1334,51418,8851.0
1028,1340,26138,229.0
1044,1356,117731,199.0
1054,1371,79945,152.0
1055,1372,102975,174.0
1056,1373,98382,172.0
1057,1374,84726,154.0
1058,1375,88170,157.0
1059,1376,92007,168.0
1071,1391,116996,75.0
1076,1396,105435,2322.0
1131,1479,120053,10003.0
1158,1527,119116,18.0
1164,1544,119567,330.0
1183,1580,119654,607.0
1187,1584,118884,686.0
1193,1590,119081,8413.0
1194,1591,120177,10336.0
1205,1603,119675,4961.0
1237,1646,120029,36797.0
1243,1653,119177,782.0
1261,1676,120201,563.0
1267,1682,120382,37165.0
1275,1690,118583,8078.0
1293,1726,119925,9922.0
1305,1748,118929,2666.0
1313,1762,118956,9457.0
1320,1779,120184,10153.0
1346,1831,120738,2157.0
1364,1862,120841,10216.0
1371,1876,120647,8656.0
1373,1882,120685,929.0
1391,1909,120902,846.0
1398,1917,120591,95.0
1402,1921,138704,473.0
1405,1924,52077,10513.0
1442,1965,87995,13820.0
1484,2009,70723,12101.0
1485,2010,17136,19.0
1486,2011,96874,165.0
1487,2012,99088,196.0
1496,2021,87182,841.0
